FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-18 13:26:30

Total deployment events: 246
Number of node-function combinations: 116

Event Type Summary:
  Deployment events: 3
  Replica events: 164
  Network events: 79

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
t=   3.4s | network    | nuc_10 → coral_9     | unknown                   | data_download (45.8 MB)
t=   3.5s | network    | registry → nano_46   | unknown                   | docker_pull (95.4 MB)
t=   3.6s | network    | nuc_10 → nano_46     | unknown                   | data_download (98.2 MB)
t=   3.7s | network    | registry → coral_11  | unknown                   | docker_pull (38.1 MB)
t=   3.8s | network    | nuc_10 → coral_11    | unknown                   | data_download (45.8 MB)
t=   3.9s | network    | registry → tx2_0     | unknown                   | docker_pull (95.4 MB)
t=   4.0s | replica    | rockpi_18            | speech-inference          | setup replica of speech-inference
t=   4.0s | network    | nuc_10 → tx2_0       | unknown                   | data_download (98.2 MB)
t=   4.1s | network    | registry → rpi4_4    | unknown                   | docker_pull (31.5 MB)
t=   4.2s | network    | nuc_10 → rpi4_4      | unknown                   | data_download (45.8 MB)
t=   4.3s | network    | registry → tx2_1     | unknown                   | docker_pull (95.4 MB)
t=   4.4s | network    | nuc_10 → tx2_1       | unknown                   | data_download (98.2 MB)
t=   4.5s | network    | registry → rpi4_5    | unknown                   | docker_pull (31.5 MB)
t=   4.6s | network    | nuc_10 → rpi4_5      | unknown                   | data_download (45.8 MB)
t=   4.7s | network    | registry → nx_4      | unknown                   | docker_pull (95.4 MB)
t=   4.8s | network    | nuc_10 → nx_4        | unknown                   | data_download (98.2 MB)
t=   4.9s | network    | registry → rpi4_12   | unknown                   | docker_pull (31.5 MB)
t=   5.0s | replica    | tx2_11               | resnet50-inference        | startup replica of resnet50-inference
t=   5.0s | network    | nuc_10 → rpi4_12     | unknown                   | data_download (45.8 MB)
t=   5.1s | network    | registry → tx2_5     | unknown                   | docker_pull (95.4 MB)
t=   5.2s | network    | nuc_10 → tx2_5       | unknown                   | data_download (98.2 MB)
t=   5.3s | network    | registry → rpi4_13   | unknown                   | docker_pull (31.5 MB)
t=   5.4s | network    | nuc_10 → rpi4_13     | unknown                   | data_download (45.8 MB)
t=   5.5s | network    | registry → nano_18   | unknown                   | docker_pull (95.4 MB)
t=   5.6s | network    | nuc_10 → nano_18     | unknown                   | data_download (98.2 MB)
t=   5.7s | network    | registry → nx_4      | unknown                   | docker_pull (38.1 MB)
t=   5.8s | network    | nuc_10 → nx_4        | unknown                   | data_download (45.8 MB)
t=   5.9s | network    | registry → nano_43   | unknown                   | docker_pull (95.4 MB)
t=   6.0s | replica    | tx2_11               | resnet50-inference        | setup replica of resnet50-inference
t=   6.0s | network    | nuc_10 → nano_43     | unknown                   | data_download (98.2 MB)
t=   6.1s | network    | registry → coral_6   | unknown                   | docker_pull (38.1 MB)
t=   6.2s | network    | nuc_10 → coral_6     | unknown                   | data_download (45.8 MB)
t=   6.3s | network    | registry → nano_48   | unknown                   | docker_pull (95.4 MB)
t=   6.4s | network    | nuc_10 → nano_48     | unknown                   | data_download (98.2 MB)
t=   6.5s | network    | registry → rockpi_16 | unknown                   | docker_pull (38.1 MB)
t=   6.6s | network    | nuc_10 → rockpi_16   | unknown                   | data_download (45.8 MB)
t=   6.7s | network    | registry → nano_49   | unknown                   | docker_pull (95.4 MB)
t=   6.8s | network    | nuc_10 → nano_49     | unknown                   | data_download (98.2 MB)
t=   6.9s | network    | nuc_10 → rockpi_16   | unknown                   | data_download (45.8 MB)
t=   7.0s | replica    | rockpi_18            | speech-inference          | finish replica of speech-inference
t=   7.0s | network    | registry → tx2_13    | unknown                   | docker_pull (95.4 MB)
t=   7.1s | network    | nuc_10 → tx2_13      | unknown                   | data_download (98.2 MB)
t=   7.2s | network    | registry → rockpi_5  | unknown                   | docker_pull (38.1 MB)
t=   7.3s | network    | nuc_10 → rockpi_5    | unknown                   | data_download (45.8 MB)
t=   7.4s | network    | registry → tx2_19    | unknown                   | docker_pull (95.4 MB)
t=   7.5s | network    | nuc_10 → tx2_19      | unknown                   | data_download (98.2 MB)
t=   7.6s | network    | nuc_10 → rockpi_5    | unknown                   | data_download (45.8 MB)
t=   7.7s | network    | registry → nano_31   | unknown                   | docker_pull (95.4 MB)
t=   7.8s | network    | nuc_10 → nano_31     | unknown                   | data_download (98.2 MB)
t=   7.9s | network    | registry → rpi3_3    | unknown                   | docker_pull (31.5 MB)
t=   8.0s | replica    | tx2_11               | resnet50-inference        | finish replica of resnet50-inference
t=   8.0s | network    | nuc_10 → rpi3_3      | unknown                   | data_download (45.8 MB)
t=   8.1s | network    | registry → nano_37   | unknown                   | docker_pull (95.4 MB)
t=   8.2s | network    | nuc_10 → nano_37     | unknown                   | data_download (98.2 MB)
t=   8.3s | network    | registry → rpi3_4    | unknown                   | docker_pull (31.5 MB)
t=   8.4s | network    | nuc_10 → rpi3_4      | unknown                   | data_download (45.8 MB)
t=   8.5s | network    | registry → nano_50   | unknown                   | docker_pull (95.4 MB)
t=   8.6s | network    | nuc_10 → nano_50     | unknown                   | data_download (98.2 MB)
t=   8.7s | network    | registry → rpi3_5    | unknown                   | docker_pull (31.5 MB)
t=   8.8s | network    | nuc_10 → rpi3_5      | unknown                   | data_download (45.8 MB)
t=   8.9s | network    | registry → nano_52   | unknown                   | docker_pull (95.4 MB)
t=   9.0s | replica    | rockpi_18            | resnet50-preprocessing    | startup replica of resnet50-preprocessing
t=   9.0s | network    | nuc_10 → nano_52     | unknown                   | data_download (98.2 MB)
t=   9.1s | network    | registry → rpi4_2    | unknown                   | docker_pull (31.5 MB)
t=   9.2s | network    | nuc_10 → rpi4_2      | unknown                   | data_download (45.8 MB)
t=   9.3s | network    | registry → tx2_4     | unknown                   | docker_pull (95.4 MB)
t=   9.4s | network    | nuc_10 → tx2_4       | unknown                   | data_download (98.2 MB)
t=   9.5s | network    | registry → rpi4_3    | unknown                   | docker_pull (31.5 MB)
t=   9.6s | network    | nuc_10 → rpi4_3      | unknown                   | data_download (45.8 MB)
t=   9.7s | network    | registry → nano_15   | unknown                   | docker_pull (95.4 MB)
t=   9.8s | network    | nuc_10 → nano_15     | unknown                   | data_download (98.2 MB)
t=  10.0s | replica    | rockpi_18            | resnet50-preprocessing    | setup replica of resnet50-preprocessing
t=  11.0s | replica    | rockpi_18            | resnet50-preprocessing    | finish replica of resnet50-preprocessing
t=  12.0s | replica    | nano_12              | resnet50-inference        | deploy replica of resnet50-inference
t=  13.0s | replica    | rpi4_0               | speech-inference          | deploy replica of speech-inference
t=  14.0s | replica    | rpi4_0               | speech-inference          | startup replica of speech-inference
t=  15.0s | replica    | rpi4_0               | speech-inference          | setup replica of speech-inference
t=  16.0s | replica    | rpi4_0               | speech-inference          | finish replica of speech-inference
t=  17.0s | replica    | nano_12              | resnet50-inference        | startup replica of resnet50-inference
t=  18.0s | replica    | nano_12              | resnet50-inference        | setup replica of resnet50-inference
t=  19.0s | replica    | nano_12              | resnet50-inference        | finish replica of resnet50-inference
t=  20.0s | replica    | nano_21              | resnet50-inference        | deploy replica of resnet50-inference
t=  21.0s | replica    | rpi4_1               | speech-inference          | deploy replica of speech-inference
t=  22.0s | replica    | rpi4_1               | speech-inference          | startup replica of speech-inference
t=  23.0s | replica    | rpi4_1               | speech-inference          | setup replica of speech-inference
t=  24.0s | replica    | rpi4_1               | speech-inference          | finish replica of speech-inference
t=  25.0s | replica    | nano_21              | resnet50-inference        | startup replica of resnet50-inference
t=  26.0s | replica    | nano_21              | resnet50-inference        | setup replica of resnet50-inference
t=  27.0s | replica    | nano_21              | resnet50-inference        | finish replica of resnet50-inference
t=  28.0s | replica    | nano_46              | resnet50-inference        | deploy replica of resnet50-inference
t=  29.0s | replica    | coral_9              | speech-inference          | deploy replica of speech-inference
t=  30.0s | replica    | coral_9              | speech-inference          | startup replica of speech-inference
t=  31.0s | replica    | coral_9              | speech-inference          | setup replica of speech-inference
t=  32.0s | replica    | coral_9              | speech-inference          | finish replica of speech-inference
t=  33.0s | replica    | nano_46              | resnet50-inference        | startup replica of resnet50-inference
t=  34.0s | replica    | nano_46              | resnet50-inference        | setup replica of resnet50-inference
t=  35.0s | replica    | nano_46              | resnet50-inference        | finish replica of resnet50-inference
t=  36.0s | replica    | tx2_0                | resnet50-inference        | deploy replica of resnet50-inference
t=  37.0s | replica    | coral_11             | speech-inference          | deploy replica of speech-inference
t=  38.0s | replica    | coral_11             | speech-inference          | startup replica of speech-inference
t=  39.0s | replica    | coral_11             | speech-inference          | setup replica of speech-inference
t=  40.0s | replica    | coral_11             | speech-inference          | finish replica of speech-inference
t=  41.0s | replica    | tx2_0                | resnet50-inference        | startup replica of resnet50-inference
t=  42.0s | replica    | tx2_0                | resnet50-inference        | setup replica of resnet50-inference
t=  43.0s | replica    | tx2_0                | resnet50-inference        | finish replica of resnet50-inference
t=  44.0s | replica    | tx2_1                | resnet50-inference        | deploy replica of resnet50-inference
t=  45.0s | replica    | rpi4_4               | speech-inference          | deploy replica of speech-inference
t=  46.0s | replica    | rpi4_4               | speech-inference          | startup replica of speech-inference
t=  47.0s | replica    | rpi4_4               | speech-inference          | setup replica of speech-inference
t=  48.0s | replica    | rpi4_4               | speech-inference          | finish replica of speech-inference
t=  49.0s | replica    | tx2_1                | resnet50-inference        | startup replica of resnet50-inference
t=  50.0s | replica    | tx2_1                | resnet50-inference        | setup replica of resnet50-inference
t=  51.0s | replica    | tx2_1                | resnet50-inference        | finish replica of resnet50-inference
t=  52.0s | replica    | nx_4                 | resnet50-inference        | deploy replica of resnet50-inference
t=  53.0s | replica    | rpi4_5               | speech-inference          | deploy replica of speech-inference
t=  54.0s | replica    | rpi4_5               | speech-inference          | startup replica of speech-inference
t=  55.0s | replica    | rpi4_5               | speech-inference          | setup replica of speech-inference
t=  56.0s | replica    | rpi4_5               | speech-inference          | finish replica of speech-inference
t=  57.0s | replica    | nx_4                 | resnet50-inference        | startup replica of resnet50-inference
t=  58.0s | replica    | nx_4                 | resnet50-inference        | setup replica of resnet50-inference
t=  59.0s | replica    | nx_4                 | resnet50-inference        | finish replica of resnet50-inference
t=  60.0s | replica    | tx2_5                | resnet50-inference        | deploy replica of resnet50-inference
t=  61.0s | replica    | rpi4_12              | speech-inference          | deploy replica of speech-inference
t=  62.0s | replica    | rpi4_12              | speech-inference          | startup replica of speech-inference
t=  63.0s | replica    | rpi4_12              | speech-inference          | setup replica of speech-inference
t=  64.0s | replica    | rpi4_12              | speech-inference          | finish replica of speech-inference
t=  65.0s | replica    | tx2_5                | resnet50-inference        | startup replica of resnet50-inference
t=  66.0s | replica    | tx2_5                | resnet50-inference        | setup replica of resnet50-inference
t=  67.0s | replica    | tx2_5                | resnet50-inference        | finish replica of resnet50-inference
t=  68.0s | replica    | nano_18              | resnet50-inference        | deploy replica of resnet50-inference
t=  69.0s | replica    | rpi4_13              | speech-inference          | deploy replica of speech-inference
t=  70.0s | replica    | rpi4_13              | speech-inference          | startup replica of speech-inference
t=  71.0s | replica    | rpi4_13              | speech-inference          | setup replica of speech-inference
t=  72.0s | replica    | rpi4_13              | speech-inference          | finish replica of speech-inference
t=  73.0s | replica    | nano_18              | resnet50-inference        | startup replica of resnet50-inference
t=  74.0s | replica    | nano_18              | resnet50-inference        | setup replica of resnet50-inference
t=  75.0s | replica    | nano_18              | resnet50-inference        | finish replica of resnet50-inference
t=  76.0s | replica    | nano_43              | resnet50-inference        | deploy replica of resnet50-inference
t=  77.0s | replica    | nx_4                 | speech-inference          | deploy replica of speech-inference
t=  78.0s | replica    | nx_4                 | speech-inference          | startup replica of speech-inference
t=  79.0s | replica    | nx_4                 | speech-inference          | setup replica of speech-inference
t=  80.0s | replica    | nx_4                 | speech-inference          | finish replica of speech-inference
t=  81.0s | replica    | nano_43              | resnet50-inference        | startup replica of resnet50-inference
t=  82.0s | replica    | nano_43              | resnet50-inference        | setup replica of resnet50-inference
t=  83.0s | replica    | nano_43              | resnet50-inference        | finish replica of resnet50-inference
t=  84.0s | replica    | nano_48              | resnet50-inference        | deploy replica of resnet50-inference
t=  85.0s | replica    | coral_6              | speech-inference          | deploy replica of speech-inference
t=  86.0s | replica    | coral_6              | speech-inference          | startup replica of speech-inference
t=  87.0s | replica    | coral_6              | speech-inference          | setup replica of speech-inference
t=  88.0s | replica    | coral_6              | speech-inference          | finish replica of speech-inference
t=  89.0s | replica    | nano_48              | resnet50-inference        | startup replica of resnet50-inference
t=  90.0s | replica    | nano_48              | resnet50-inference        | setup replica of resnet50-inference
t=  91.0s | replica    | nano_48              | resnet50-inference        | finish replica of resnet50-inference
t=  92.0s | replica    | nano_49              | resnet50-inference        | deploy replica of resnet50-inference
t=  93.0s | replica    | rockpi_16            | speech-inference          | deploy replica of speech-inference
t=  94.0s | replica    | rockpi_16            | speech-inference          | startup replica of speech-inference
t=  95.0s | replica    | rockpi_16            | speech-inference          | setup replica of speech-inference
t=  96.0s | replica    | rockpi_16            | speech-inference          | finish replica of speech-inference
t=  97.0s | replica    | nano_49              | resnet50-inference        | startup replica of resnet50-inference
t=  98.0s | replica    | nano_49              | resnet50-inference        | setup replica of resnet50-inference
t=  99.0s | replica    | nano_49              | resnet50-inference        | finish replica of resnet50-inference
t= 100.0s | replica    | tx2_13               | resnet50-inference        | deploy replica of resnet50-inference
t= 101.0s | replica    | rockpi_16            | speech-inference          | deploy replica of speech-inference
t= 102.0s | replica    | rockpi_16            | speech-inference          | startup replica of speech-inference
t= 103.0s | replica    | rockpi_16            | speech-inference          | setup replica of speech-inference
t= 104.0s | replica    | rockpi_16            | speech-inference          | finish replica of speech-inference
t= 105.0s | replica    | tx2_13               | resnet50-inference        | startup replica of resnet50-inference
t= 106.0s | replica    | tx2_13               | resnet50-inference        | setup replica of resnet50-inference
t= 107.0s | replica    | tx2_13               | resnet50-inference        | finish replica of resnet50-inference
t= 108.0s | replica    | tx2_19               | resnet50-inference        | deploy replica of resnet50-inference
t= 109.0s | replica    | rockpi_5             | speech-inference          | deploy replica of speech-inference
t= 110.0s | replica    | rockpi_5             | speech-inference          | startup replica of speech-inference
t= 111.0s | replica    | rockpi_5             | speech-inference          | setup replica of speech-inference
t= 112.0s | replica    | rockpi_5             | speech-inference          | finish replica of speech-inference
t= 113.0s | replica    | tx2_19               | resnet50-inference        | startup replica of resnet50-inference
t= 114.0s | replica    | tx2_19               | resnet50-inference        | setup replica of resnet50-inference
t= 115.0s | replica    | tx2_19               | resnet50-inference        | finish replica of resnet50-inference
t= 116.0s | replica    | nano_31              | resnet50-inference        | deploy replica of resnet50-inference
t= 117.0s | replica    | rockpi_5             | speech-inference          | deploy replica of speech-inference
t= 118.0s | replica    | rockpi_5             | speech-inference          | startup replica of speech-inference
t= 119.0s | replica    | rockpi_5             | speech-inference          | setup replica of speech-inference
t= 120.0s | replica    | rockpi_5             | speech-inference          | finish replica of speech-inference
t= 121.0s | replica    | nano_31              | resnet50-inference        | startup replica of resnet50-inference
t= 122.0s | replica    | nano_31              | resnet50-inference        | setup replica of resnet50-inference
t= 123.0s | replica    | nano_31              | resnet50-inference        | finish replica of resnet50-inference
t= 124.0s | replica    | nano_37              | resnet50-inference        | deploy replica of resnet50-inference
t= 125.0s | replica    | rpi3_3               | speech-inference          | deploy replica of speech-inference
t= 126.0s | replica    | rpi3_3               | speech-inference          | startup replica of speech-inference
t= 127.0s | replica    | rpi3_3               | speech-inference          | setup replica of speech-inference
t= 128.0s | replica    | rpi3_3               | speech-inference          | finish replica of speech-inference
t= 129.0s | replica    | nano_37              | resnet50-inference        | startup replica of resnet50-inference
t= 130.0s | replica    | nano_37              | resnet50-inference        | setup replica of resnet50-inference
t= 131.0s | replica    | nano_37              | resnet50-inference        | finish replica of resnet50-inference
t= 132.0s | replica    | nano_50              | resnet50-inference        | deploy replica of resnet50-inference
t= 133.0s | replica    | rpi3_4               | speech-inference          | deploy replica of speech-inference
t= 134.0s | replica    | rpi3_4               | speech-inference          | startup replica of speech-inference
t= 135.0s | replica    | rpi3_4               | speech-inference          | setup replica of speech-inference
t= 136.0s | replica    | rpi3_4               | speech-inference          | finish replica of speech-inference
t= 137.0s | replica    | nano_50              | resnet50-inference        | startup replica of resnet50-inference
t= 138.0s | replica    | nano_50              | resnet50-inference        | setup replica of resnet50-inference
t= 139.0s | replica    | nano_50              | resnet50-inference        | finish replica of resnet50-inference
t= 140.0s | replica    | nano_52              | resnet50-inference        | deploy replica of resnet50-inference
t= 141.0s | replica    | rpi3_5               | speech-inference          | deploy replica of speech-inference
t= 142.0s | replica    | rpi3_5               | speech-inference          | startup replica of speech-inference
t= 143.0s | replica    | rpi3_5               | speech-inference          | setup replica of speech-inference
t= 144.0s | replica    | rpi3_5               | speech-inference          | finish replica of speech-inference
t= 145.0s | replica    | nano_52              | resnet50-inference        | startup replica of resnet50-inference
t= 146.0s | replica    | nano_52              | resnet50-inference        | setup replica of resnet50-inference
t= 147.0s | replica    | nano_52              | resnet50-inference        | finish replica of resnet50-inference
t= 148.0s | replica    | tx2_4                | resnet50-inference        | deploy replica of resnet50-inference
t= 149.0s | replica    | rpi4_2               | speech-inference          | deploy replica of speech-inference
t= 150.0s | replica    | rpi4_2               | speech-inference          | startup replica of speech-inference
t= 151.0s | replica    | rpi4_2               | speech-inference          | setup replica of speech-inference
t= 152.0s | replica    | rpi4_2               | speech-inference          | finish replica of speech-inference
t= 153.0s | replica    | tx2_4                | resnet50-inference        | startup replica of resnet50-inference
t= 154.0s | replica    | tx2_4                | resnet50-inference        | setup replica of resnet50-inference
t= 155.0s | replica    | tx2_4                | resnet50-inference        | finish replica of resnet50-inference
t= 156.0s | replica    | nano_15              | resnet50-inference        | deploy replica of resnet50-inference
t= 157.0s | replica    | rpi4_3               | speech-inference          | deploy replica of speech-inference
t= 158.0s | replica    | rpi4_3               | speech-inference          | startup replica of speech-inference
t= 159.0s | replica    | rpi4_3               | speech-inference          | setup replica of speech-inference
t= 160.0s | replica    | rpi4_3               | speech-inference          | finish replica of speech-inference
t= 161.0s | replica    | nano_15              | resnet50-inference        | startup replica of resnet50-inference
t= 162.0s | replica    | nano_15              | resnet50-inference        | setup replica of resnet50-inference
t= 163.0s | replica    | nano_15              | resnet50-inference        | finish replica of resnet50-inference

GROUPED BY NODE-FUNCTION
========================

coral_11 - speech-inference:
----------------------------
  t=  37.0s - deploy replica of speech-inference [replica]
  t=  38.0s - startup replica of speech-inference [replica]
  t=  39.0s - setup replica of speech-inference [replica]
  t=  40.0s - finish replica of speech-inference [replica]
  Total events: 4

coral_6 - speech-inference:
---------------------------
  t=  85.0s - deploy replica of speech-inference [replica]
  t=  86.0s - startup replica of speech-inference [replica]
  t=  87.0s - setup replica of speech-inference [replica]
  t=  88.0s - finish replica of speech-inference [replica]
  Total events: 4

coral_9 - speech-inference:
---------------------------
  t=  29.0s - deploy replica of speech-inference [replica]
  t=  30.0s - startup replica of speech-inference [replica]
  t=  31.0s - setup replica of speech-inference [replica]
  t=  32.0s - finish replica of speech-inference [replica]
  Total events: 4

global - resnet50-inference:
----------------------------
  t=   0.0s - deploy resnet50-inference [deployment]
  Total events: 1

global - resnet50-preprocessing:
--------------------------------
  t=   0.0s - deploy resnet50-preprocessing [deployment]
  Total events: 1

global - speech-inference:
--------------------------
  t=   0.0s - deploy speech-inference [deployment]
  Total events: 1

nano_12 - resnet50-inference:
-----------------------------
  t=  12.0s - deploy replica of resnet50-inference [replica]
  t=  17.0s - startup replica of resnet50-inference [replica]
  t=  18.0s - setup replica of resnet50-inference [replica]
  t=  19.0s - finish replica of resnet50-inference [replica]
  Total events: 4

nano_15 - resnet50-inference:
-----------------------------
  t= 156.0s - deploy replica of resnet50-inference [replica]
  t= 161.0s - startup replica of resnet50-inference [replica]
  t= 162.0s - setup replica of resnet50-inference [replica]
  t= 163.0s - finish replica of resnet50-inference [replica]
  Total events: 4

nano_18 - resnet50-inference:
-----------------------------
  t=  68.0s - deploy replica of resnet50-inference [replica]
  t=  73.0s - startup replica of resnet50-inference [replica]
  t=  74.0s - setup replica of resnet50-inference [replica]
  t=  75.0s - finish replica of resnet50-inference [replica]
  Total events: 4

nano_21 - resnet50-inference:
-----------------------------
  t=  20.0s - deploy replica of resnet50-inference [replica]
  t=  25.0s - startup replica of resnet50-inference [replica]
  t=  26.0s - setup replica of resnet50-inference [replica]
  t=  27.0s - finish replica of resnet50-inference [replica]
  Total events: 4

nano_31 - resnet50-inference:
-----------------------------
  t= 116.0s - deploy replica of resnet50-inference [replica]
  t= 121.0s - startup replica of resnet50-inference [replica]
  t= 122.0s - setup replica of resnet50-inference [replica]
  t= 123.0s - finish replica of resnet50-inference [replica]
  Total events: 4

nano_37 - resnet50-inference:
-----------------------------
  t= 124.0s - deploy replica of resnet50-inference [replica]
  t= 129.0s - startup replica of resnet50-inference [replica]
  t= 130.0s - setup replica of resnet50-inference [replica]
  t= 131.0s - finish replica of resnet50-inference [replica]
  Total events: 4

nano_43 - resnet50-inference:
-----------------------------
  t=  76.0s - deploy replica of resnet50-inference [replica]
  t=  81.0s - startup replica of resnet50-inference [replica]
  t=  82.0s - setup replica of resnet50-inference [replica]
  t=  83.0s - finish replica of resnet50-inference [replica]
  Total events: 4

nano_46 - resnet50-inference:
-----------------------------
  t=  28.0s - deploy replica of resnet50-inference [replica]
  t=  33.0s - startup replica of resnet50-inference [replica]
  t=  34.0s - setup replica of resnet50-inference [replica]
  t=  35.0s - finish replica of resnet50-inference [replica]
  Total events: 4

nano_48 - resnet50-inference:
-----------------------------
  t=  84.0s - deploy replica of resnet50-inference [replica]
  t=  89.0s - startup replica of resnet50-inference [replica]
  t=  90.0s - setup replica of resnet50-inference [replica]
  t=  91.0s - finish replica of resnet50-inference [replica]
  Total events: 4

nano_49 - resnet50-inference:
-----------------------------
  t=  92.0s - deploy replica of resnet50-inference [replica]
  t=  97.0s - startup replica of resnet50-inference [replica]
  t=  98.0s - setup replica of resnet50-inference [replica]
  t=  99.0s - finish replica of resnet50-inference [replica]
  Total events: 4

nano_50 - resnet50-inference:
-----------------------------
  t= 132.0s - deploy replica of resnet50-inference [replica]
  t= 137.0s - startup replica of resnet50-inference [replica]
  t= 138.0s - setup replica of resnet50-inference [replica]
  t= 139.0s - finish replica of resnet50-inference [replica]
  Total events: 4

nano_52 - resnet50-inference:
-----------------------------
  t= 140.0s - deploy replica of resnet50-inference [replica]
  t= 145.0s - startup replica of resnet50-inference [replica]
  t= 146.0s - setup replica of resnet50-inference [replica]
  t= 147.0s - finish replica of resnet50-inference [replica]
  Total events: 4

nuc_10 → coral_11 - unknown:
----------------------------
  t=   3.8s - data_download (45.8 MB) [network]
  Total events: 1

nuc_10 → coral_6 - unknown:
---------------------------
  t=   6.2s - data_download (45.8 MB) [network]
  Total events: 1

nuc_10 → coral_9 - unknown:
---------------------------
  t=   3.4s - data_download (45.8 MB) [network]
  Total events: 1

nuc_10 → nano_12 - unknown:
---------------------------
  t=   2.8s - data_download (98.2 MB) [network]
  Total events: 1

nuc_10 → nano_15 - unknown:
---------------------------
  t=   9.8s - data_download (98.2 MB) [network]
  Total events: 1

nuc_10 → nano_18 - unknown:
---------------------------
  t=   5.6s - data_download (98.2 MB) [network]
  Total events: 1

nuc_10 → nano_21 - unknown:
---------------------------
  t=   3.2s - data_download (98.2 MB) [network]
  Total events: 1

nuc_10 → nano_31 - unknown:
---------------------------
  t=   7.8s - data_download (98.2 MB) [network]
  Total events: 1

nuc_10 → nano_37 - unknown:
---------------------------
  t=   8.2s - data_download (98.2 MB) [network]
  Total events: 1

nuc_10 → nano_43 - unknown:
---------------------------
  t=   6.0s - data_download (98.2 MB) [network]
  Total events: 1

nuc_10 → nano_46 - unknown:
---------------------------
  t=   3.6s - data_download (98.2 MB) [network]
  Total events: 1

nuc_10 → nano_48 - unknown:
---------------------------
  t=   6.4s - data_download (98.2 MB) [network]
  Total events: 1

nuc_10 → nano_49 - unknown:
---------------------------
  t=   6.8s - data_download (98.2 MB) [network]
  Total events: 1

nuc_10 → nano_50 - unknown:
---------------------------
  t=   8.6s - data_download (98.2 MB) [network]
  Total events: 1

nuc_10 → nano_52 - unknown:
---------------------------
  t=   9.0s - data_download (98.2 MB) [network]
  Total events: 1

nuc_10 → nx_4 - unknown:
------------------------
  t=   4.8s - data_download (98.2 MB) [network]
  t=   5.8s - data_download (45.8 MB) [network]
  Total events: 2

nuc_10 → rockpi_16 - unknown:
-----------------------------
  t=   6.6s - data_download (45.8 MB) [network]
  t=   6.9s - data_download (45.8 MB) [network]
  Total events: 2

nuc_10 → rockpi_18 - unknown:
-----------------------------
  t=   2.2s - data_download (45.8 MB) [network]
  Total events: 1

nuc_10 → rockpi_5 - unknown:
----------------------------
  t=   7.3s - data_download (45.8 MB) [network]
  t=   7.6s - data_download (45.8 MB) [network]
  Total events: 2

nuc_10 → rpi3_3 - unknown:
--------------------------
  t=   8.0s - data_download (45.8 MB) [network]
  Total events: 1

nuc_10 → rpi3_4 - unknown:
--------------------------
  t=   8.4s - data_download (45.8 MB) [network]
  Total events: 1

nuc_10 → rpi3_5 - unknown:
--------------------------
  t=   8.8s - data_download (45.8 MB) [network]
  Total events: 1

nuc_10 → rpi4_0 - unknown:
--------------------------
  t=   2.6s - data_download (45.8 MB) [network]
  Total events: 1

nuc_10 → rpi4_1 - unknown:
--------------------------
  t=   3.0s - data_download (45.8 MB) [network]
  Total events: 1

nuc_10 → rpi4_12 - unknown:
---------------------------
  t=   5.0s - data_download (45.8 MB) [network]
  Total events: 1

nuc_10 → rpi4_13 - unknown:
---------------------------
  t=   5.4s - data_download (45.8 MB) [network]
  Total events: 1

nuc_10 → rpi4_2 - unknown:
--------------------------
  t=   9.2s - data_download (45.8 MB) [network]
