FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-18 13:47:59

Total deployment events: 3096
Number of node-function combinations: 1291

Event Type Summary:
  Deployment events: 23
  Replica events: 1820
  Network events: 1253

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
t=   3.8s | network    | nuc_46 → rockpi_584  | unknown                   | data_download (45.8 MB)
t=   3.9s | network    | nuc_46 → rockpi_18   | unknown                   | data_download (45.8 MB)
t=   4.0s | replica    | nano_857             | resnet50-inference-residential | deploy replica of resnet50-inference-residential
t=   4.0s | network    | nuc_46 → rockpi_359  | unknown                   | data_download (45.8 MB)
t=   4.1s | network    | registry → rockpi_555 | unknown                   | docker_pull (38.1 MB)
t=   4.2s | network    | registry → coral_296 | unknown                   | docker_pull (38.1 MB)
t=   4.3s | network    | registry → rockpi_266 | unknown                   | docker_pull (38.1 MB)
t=   4.4s | network    | registry → rockpi_160 | unknown                   | docker_pull (38.1 MB)
t=   4.5s | network    | registry → nano_400  | unknown                   | docker_pull (95.4 MB)
t=   4.6s | network    | registry → nano_574  | unknown                   | docker_pull (95.4 MB)
t=   4.7s | network    | registry → nano_1003 | unknown                   | docker_pull (95.4 MB)
t=   4.8s | network    | registry → nano_1241 | unknown                   | docker_pull (95.4 MB)
t=   4.9s | network    | registry → nx_83     | unknown                   | docker_pull (95.4 MB)
t=   5.0s | replica    | tx2_0                | resnet50-inference-commercial | deploy replica of resnet50-inference-commercial
t=   5.0s | network    | registry → nx_169    | unknown                   | docker_pull (95.4 MB)
t=   5.1s | network    | registry → tx2_346   | unknown                   | docker_pull (95.4 MB)
t=   5.2s | network    | registry → nano_319  | unknown                   | docker_pull (95.4 MB)
t=   5.3s | network    | registry → nano_488  | unknown                   | docker_pull (95.4 MB)
t=   5.4s | network    | registry → nano_788  | unknown                   | docker_pull (95.4 MB)
t=   5.5s | network    | registry → nx_218    | unknown                   | docker_pull (95.4 MB)
t=   5.6s | network    | nuc_46 → rockpi_584  | unknown                   | data_download (45.8 MB)
t=   5.7s | network    | nuc_46 → rockpi_18   | unknown                   | data_download (45.8 MB)
t=   5.8s | network    | nuc_46 → rockpi_549  | unknown                   | data_download (45.8 MB)
t=   5.9s | network    | nuc_46 → rockpi_359  | unknown                   | data_download (45.8 MB)
t=   6.0s | replica    | tx2_1                | resnet50-inference-airport | deploy replica of resnet50-inference-airport
t=   6.0s | network    | registry → nx_83     | unknown                   | docker_pull (38.1 MB)
t=   6.1s | network    | registry → rpi3_459  | unknown                   | docker_pull (31.5 MB)
t=   6.2s | network    | registry → nx_169    | unknown                   | docker_pull (38.1 MB)
t=   6.3s | network    | registry → rpi3_460  | unknown                   | docker_pull (31.5 MB)
t=   6.4s | network    | registry → rpi3_461  | unknown                   | docker_pull (31.5 MB)
t=   6.5s | network    | registry → rpi4_298  | unknown                   | docker_pull (31.5 MB)
t=   6.6s | network    | registry → rpi4_299  | unknown                   | docker_pull (31.5 MB)
t=   6.7s | network    | registry → nano_522  | unknown                   | docker_pull (95.4 MB)
t=   6.8s | network    | registry → nano_795  | unknown                   | docker_pull (95.4 MB)
t=   6.9s | network    | registry → nx_91     | unknown                   | docker_pull (95.4 MB)
t=   7.0s | replica    | tx2_2                | resnet50-inference-port   | deploy replica of resnet50-inference-port
t=   7.0s | network    | registry → nano_73   | unknown                   | docker_pull (95.4 MB)
t=   7.1s | network    | registry → nano_221  | unknown                   | docker_pull (95.4 MB)
t=   7.2s | network    | registry → nano_286  | unknown                   | docker_pull (95.4 MB)
t=   7.3s | network    | registry → nano_367  | unknown                   | docker_pull (95.4 MB)
t=   7.4s | network    | registry → nano_660  | unknown                   | docker_pull (95.4 MB)
t=   7.5s | network    | registry → nano_804  | unknown                   | docker_pull (95.4 MB)
t=   7.6s | network    | registry → nx_149    | unknown                   | docker_pull (95.4 MB)
t=   7.7s | network    | registry → nano_181  | unknown                   | docker_pull (95.4 MB)
t=   7.8s | network    | registry → nx_218    | unknown                   | docker_pull (38.1 MB)
t=   7.9s | network    | registry → rpi4_228  | unknown                   | docker_pull (31.5 MB)
t=   8.0s | replica    | rockpi_584           | speech-inference          | deploy replica of speech-inference
t=   8.0s | network    | registry → coral_233 | unknown                   | docker_pull (38.1 MB)
t=   8.1s | network    | registry → rpi4_229  | unknown                   | docker_pull (31.5 MB)
t=   8.2s | network    | registry → rpi4_444  | unknown                   | docker_pull (31.5 MB)
t=   8.3s | network    | registry → rpi4_445  | unknown                   | docker_pull (31.5 MB)
t=   8.4s | network    | registry → rockpi_59 | unknown                   | docker_pull (38.1 MB)
t=   8.5s | network    | registry → tx2_3     | unknown                   | docker_pull (95.4 MB)
t=   8.6s | network    | registry → tx2_4     | unknown                   | docker_pull (95.4 MB)
t=   8.7s | network    | registry → tx2_5     | unknown                   | docker_pull (95.4 MB)
t=   8.8s | network    | registry → nano_194  | unknown                   | docker_pull (95.4 MB)
t=   8.9s | network    | registry → nano_223  | unknown                   | docker_pull (95.4 MB)
t=   9.0s | replica    | rockpi_584           | speech-inference-downtown | deploy replica of speech-inference-downtown
t=   9.0s | network    | registry → nano_372  | unknown                   | docker_pull (95.4 MB)
t=   9.1s | network    | registry → nano_545  | unknown                   | docker_pull (95.4 MB)
t=   9.2s | network    | registry → nx_301    | unknown                   | docker_pull (95.4 MB)
t=   9.3s | network    | registry → nano_138  | unknown                   | docker_pull (95.4 MB)
t=   9.4s | network    | registry → nano_503  | unknown                   | docker_pull (95.4 MB)
t=   9.5s | network    | registry → nano_521  | unknown                   | docker_pull (95.4 MB)
t=   9.6s | network    | nuc_46 → rockpi_555  | unknown                   | data_download (45.8 MB)
t=   9.7s | network    | nuc_46 → rockpi_266  | unknown                   | data_download (45.8 MB)
t=   9.8s | network    | nuc_46 → rockpi_160  | unknown                   | data_download (45.8 MB)
t=   9.9s | network    | nuc_46 → coral_296   | unknown                   | data_download (45.8 MB)
t=  10.0s | replica    | rockpi_584           | speech-inference-downtown | startup replica of speech-inference-downtown
t=  10.0s | network    | nuc_46 → rockpi_266  | unknown                   | data_download (45.8 MB)
t=  10.1s | network    | nuc_46 → rockpi_555  | unknown                   | data_download (45.8 MB)
t=  10.2s | network    | nuc_46 → rockpi_160  | unknown                   | data_download (45.8 MB)
t=  10.3s | network    | registry → nx_91     | unknown                   | docker_pull (38.1 MB)
t=  10.4s | network    | registry → coral_104 | unknown                   | docker_pull (38.1 MB)
t=  10.5s | network    | registry → coral_161 | unknown                   | docker_pull (38.1 MB)
t=  10.6s | network    | registry → rpi4_374  | unknown                   | docker_pull (31.5 MB)
t=  10.7s | network    | registry → coral_311 | unknown                   | docker_pull (38.1 MB)
t=  10.8s | network    | registry → rpi4_375  | unknown                   | docker_pull (31.5 MB)
t=  10.9s | network    | registry → nano_897  | unknown                   | docker_pull (95.4 MB)
t=  11.0s | replica    | rockpi_584           | speech-inference-downtown | setup replica of speech-inference-downtown
t=  11.0s | network    | registry → nano_1013 | unknown                   | docker_pull (95.4 MB)
t=  11.1s | network    | registry → nano_217  | unknown                   | docker_pull (95.4 MB)
t=  11.2s | network    | registry → nano_317  | unknown                   | docker_pull (95.4 MB)
t=  11.3s | network    | registry → nano_786  | unknown                   | docker_pull (95.4 MB)
t=  11.4s | network    | registry → nano_1058 | unknown                   | docker_pull (95.4 MB)
t=  11.5s | network    | registry → nx_221    | unknown                   | docker_pull (95.4 MB)
t=  11.6s | network    | registry → tx2_362   | unknown                   | docker_pull (95.4 MB)
t=  11.7s | network    | registry → nano_552  | unknown                   | docker_pull (95.4 MB)
t=  11.8s | network    | registry → nano_702  | unknown                   | docker_pull (95.4 MB)
t=  11.9s | network    | registry → nano_939  | unknown                   | docker_pull (95.4 MB)
t=  12.0s | replica    | rockpi_18            | speech-inference-suburb   | deploy replica of speech-inference-suburb
t=  12.0s | network    | nuc_46 → nano_827    | unknown                   | data_download (98.2 MB)
t=  12.1s | network    | nuc_46 → tx2_2       | unknown                   | data_download (98.2 MB)
t=  12.2s | network    | nuc_46 → nano_857    | unknown                   | data_download (98.2 MB)
t=  12.3s | network    | nuc_46 → nano_604    | unknown                   | data_download (98.2 MB)
t=  12.4s | network    | nuc_46 → tx2_225     | unknown                   | data_download (98.2 MB)
t=  12.5s | network    | nuc_46 → nano_692    | unknown                   | data_download (98.2 MB)
t=  12.6s | network    | nuc_46 → tx2_0       | unknown                   | data_download (98.2 MB)
t=  12.7s | network    | nuc_46 → tx2_1       | unknown                   | data_download (98.2 MB)
t=  12.8s | network    | registry → rockpi_240 | unknown                   | docker_pull (38.1 MB)
t=  12.9s | network    | registry → rockpi_220 | unknown                   | docker_pull (38.1 MB)
t=  13.0s | replica    | rockpi_18            | speech-inference-industrial | deploy replica of speech-inference-industrial
t=  13.0s | network    | registry → rpi4_152  | unknown                   | docker_pull (31.5 MB)
t=  13.1s | network    | registry → rpi4_153  | unknown                   | docker_pull (31.5 MB)
t=  13.2s | network    | registry → coral_0   | unknown                   | docker_pull (38.1 MB)
t=  13.3s | network    | registry → nano_972  | unknown                   | docker_pull (95.4 MB)
t=  13.4s | network    | registry → nano_992  | unknown                   | docker_pull (95.4 MB)
t=  13.5s | network    | registry → nano_1071 | unknown                   | docker_pull (95.4 MB)
t=  13.6s | network    | registry → tx2_229   | unknown                   | docker_pull (95.4 MB)
t=  13.7s | network    | registry → tx2_238   | unknown                   | docker_pull (95.4 MB)
t=  13.8s | network    | registry → nano_177  | unknown                   | docker_pull (95.4 MB)
t=  13.9s | network    | registry → nano_471  | unknown                   | docker_pull (95.4 MB)
t=  14.0s | replica    | rockpi_18            | speech-inference-industrial | startup replica of speech-inference-industrial
t=  14.0s | network    | registry → nx_90     | unknown                   | docker_pull (95.4 MB)
t=  14.1s | network    | registry → nx_214    | unknown                   | docker_pull (95.4 MB)
t=  14.2s | network    | registry → nano_76   | unknown                   | docker_pull (95.4 MB)
t=  14.3s | network    | registry → nano_134  | unknown                   | docker_pull (95.4 MB)
t=  14.4s | network    | registry → rpi4_312  | unknown                   | docker_pull (31.5 MB)
t=  14.5s | network    | registry → nx_149    | unknown                   | docker_pull (38.1 MB)
t=  14.6s | network    | registry → rpi4_313  | unknown                   | docker_pull (31.5 MB)
t=  14.7s | network    | registry → rockpi_89 | unknown                   | docker_pull (38.1 MB)
t=  14.8s | network    | registry → nx_301    | unknown                   | docker_pull (38.1 MB)
t=  14.9s | network    | registry → rockpi_344 | unknown                   | docker_pull (38.1 MB)
t=  15.0s | replica    | rockpi_18            | speech-inference-industrial | setup replica of speech-inference-industrial
t=  15.0s | network    | registry → nano_171  | unknown                   | docker_pull (95.4 MB)
t=  15.1s | network    | registry → nano_304  | unknown                   | docker_pull (95.4 MB)
t=  15.2s | network    | registry → nano_647  | unknown                   | docker_pull (95.4 MB)
t=  15.3s | network    | registry → nano_809  | unknown                   | docker_pull (95.4 MB)
t=  15.4s | network    | registry → nano_938  | unknown                   | docker_pull (95.4 MB)
t=  15.5s | network    | registry → nano_1128 | unknown                   | docker_pull (95.4 MB)
t=  15.6s | network    | registry → nano_1196 | unknown                   | docker_pull (95.4 MB)
t=  15.7s | network    | registry → tx2_342   | unknown                   | docker_pull (95.4 MB)
t=  15.8s | network    | registry → nano_536  | unknown                   | docker_pull (95.4 MB)
t=  15.9s | network    | registry → nano_793  | unknown                   | docker_pull (95.4 MB)
t=  16.0s | replica    | rockpi_359           | speech-inference-residential | deploy replica of speech-inference-residential
t=  16.0s | network    | registry → nx_175    | unknown                   | docker_pull (95.4 MB)
t=  16.1s | network    | nuc_46 → rpi3_461    | unknown                   | data_download (45.8 MB)
t=  16.2s | network    | nuc_46 → rpi4_299    | unknown                   | data_download (45.8 MB)
t=  16.3s | network    | registry → rockpi_46 | unknown                   | docker_pull (38.1 MB)
t=  16.4s | network    | registry → rockpi_37 | unknown                   | docker_pull (38.1 MB)
t=  16.5s | network    | registry → nx_395    | unknown                   | docker_pull (95.4 MB)
t=  16.6s | network    | registry → tx2_259   | unknown                   | docker_pull (95.4 MB)
t=  16.7s | network    | registry → nano_608  | unknown                   | docker_pull (95.4 MB)
t=  16.8s | network    | registry → nano_913  | unknown                   | docker_pull (95.4 MB)
t=  16.9s | network    | registry → nx_210    | unknown                   | docker_pull (95.4 MB)
t=  17.0s | replica    | rockpi_359           | speech-inference-commercial | deploy replica of speech-inference-commercial
t=  17.0s | network    | registry → rpi3_222  | unknown                   | docker_pull (31.5 MB)
t=  17.1s | network    | registry → nx_224    | unknown                   | docker_pull (95.4 MB)
t=  17.2s | network    | registry → rpi3_223  | unknown                   | docker_pull (31.5 MB)
t=  17.3s | network    | registry → tx2_268   | unknown                   | docker_pull (95.4 MB)
t=  17.4s | network    | registry → nano_273  | unknown                   | docker_pull (95.4 MB)
t=  17.5s | network    | nuc_46 → rpi3_459    | unknown                   | data_download (45.8 MB)
t=  17.6s | network    | registry → nano_478  | unknown                   | docker_pull (95.4 MB)
t=  17.7s | network    | registry → nano_1216 | unknown                   | docker_pull (95.4 MB)
t=  17.8s | network    | registry → nano_1257 | unknown                   | docker_pull (95.4 MB)
t=  17.9s | network    | nuc_46 → nx_83       | unknown                   | data_download (45.8 MB)
t=  18.0s | replica    | rockpi_359           | speech-inference-commercial | startup replica of speech-inference-commercial
t=  18.0s | network    | nuc_46 → nx_169      | unknown                   | data_download (45.8 MB)
t=  18.1s | network    | nuc_46 → rpi3_460    | unknown                   | data_download (45.8 MB)
t=  18.2s | network    | nuc_46 → rpi4_298    | unknown                   | data_download (45.8 MB)
t=  18.3s | network    | registry → rpi3_224  | unknown                   | docker_pull (31.5 MB)
t=  18.4s | network    | registry → rpi4_88   | unknown                   | docker_pull (31.5 MB)
t=  18.5s | network    | registry → nx_221    | unknown                   | docker_pull (38.1 MB)
t=  18.6s | network    | registry → rpi4_89   | unknown                   | docker_pull (31.5 MB)
t=  18.7s | network    | registry → rockpi_415 | unknown                   | docker_pull (38.1 MB)
t=  18.8s | network    | registry → rockpi_23 | unknown                   | docker_pull (38.1 MB)
t=  18.9s | network    | registry → tx2_6     | unknown                   | docker_pull (95.4 MB)
t=  19.0s | replica    | rockpi_359           | speech-inference-commercial | setup replica of speech-inference-commercial
t=  19.0s | network    | registry → tx2_7     | unknown                   | docker_pull (95.4 MB)
t=  19.1s | network    | registry → nx_131    | unknown                   | docker_pull (95.4 MB)
t=  19.2s | network    | registry → nano_407  | unknown                   | docker_pull (95.4 MB)
t=  19.3s | network    | registry → nano_694  | unknown                   | docker_pull (95.4 MB)
t=  19.4s | network    | registry → nano_765  | unknown                   | docker_pull (95.4 MB)
t=  19.5s | network    | registry → nano_816  | unknown                   | docker_pull (95.4 MB)
t=  19.6s | network    | registry → nano_297  | unknown                   | docker_pull (95.4 MB)
t=  19.7s | network    | registry → nano_456  | unknown                   | docker_pull (95.4 MB)
t=  19.8s | network    | registry → nano_764  | unknown                   | docker_pull (95.4 MB)
t=  19.9s | network    | registry → nano_879  | unknown                   | docker_pull (95.4 MB)
t=  20.0s | replica    | rockpi_549           | speech-inference-airport  | deploy replica of speech-inference-airport
t=  20.0s | network    | registry → rpi3_354  | unknown                   | docker_pull (31.5 MB)
t=  20.1s | network    | registry → rpi3_355  | unknown                   | docker_pull (31.5 MB)
t=  20.2s | network    | registry → rpi3_356  | unknown                   | docker_pull (31.5 MB)
t=  20.3s | network    | registry → rockpi_376 | unknown                   | docker_pull (38.1 MB)
t=  20.4s | network    | registry → coral_218 | unknown                   | docker_pull (38.1 MB)
t=  20.5s | network    | registry → nano_1180 | unknown                   | docker_pull (95.4 MB)
t=  20.6s | network    | registry → nx_366    | unknown                   | docker_pull (95.4 MB)
t=  20.7s | network    | registry → nano_115  | unknown                   | docker_pull (95.4 MB)
t=  20.8s | network    | registry → nano_258  | unknown                   | docker_pull (95.4 MB)
t=  20.9s | network    | registry → nano_775  | unknown                   | docker_pull (95.4 MB)
t=  21.0s | replica    | rockpi_549           | resnet50-preprocessing    | deploy replica of resnet50-preprocessing
t=  21.0s | network    | registry → nx_279    | unknown                   | docker_pull (95.4 MB)
t=  21.1s | network    | registry → nano_508  | unknown                   | docker_pull (95.4 MB)
t=  21.2s | network    | registry → nano_829  | unknown                   | docker_pull (95.4 MB)
t=  21.3s | network    | registry → nx_0      | unknown                   | docker_pull (95.4 MB)
t=  21.4s | network    | registry → nx_318    | unknown                   | docker_pull (95.4 MB)
t=  21.5s | network    | registry → nano_421  | unknown                   | docker_pull (95.4 MB)
t=  21.6s | network    | registry → rpi3_474  | unknown                   | docker_pull (31.5 MB)
t=  21.7s | network    | registry → rpi3_475  | unknown                   | docker_pull (31.5 MB)
t=  21.8s | network    | registry → rpi3_476  | unknown                   | docker_pull (31.5 MB)
t=  21.9s | network    | registry → rockpi_434 | unknown                   | docker_pull (38.1 MB)
t=  22.0s | replica    | rockpi_455           | resnet50-preprocessing-downtown | deploy replica of resnet50-preprocessing-downtown
t=  22.0s | network    | registry → rockpi_423 | unknown                   | docker_pull (38.1 MB)
t=  22.1s | network    | registry → nano_881  | unknown                   | docker_pull (95.4 MB)
t=  22.2s | network    | registry → nano_124  | unknown                   | docker_pull (95.4 MB)
t=  22.3s | network    | registry → nano_1284 | unknown                   | docker_pull (95.4 MB)
t=  22.4s | network    | registry → tx2_260   | unknown                   | docker_pull (95.4 MB)
t=  22.5s | network    | registry → tx2_344   | unknown                   | docker_pull (95.4 MB)
t=  22.6s | network    | registry → nano_123  | unknown                   | docker_pull (95.4 MB)
t=  22.7s | network    | registry → nano_735  | unknown                   | docker_pull (95.4 MB)
t=  22.8s | network    | registry → nano_971  | unknown                   | docker_pull (95.4 MB)
t=  22.9s | network    | registry → nano_1137 | unknown                   | docker_pull (95.4 MB)
t=  23.0s | replica    | rockpi_455           | resnet50-preprocessing-suburb | deploy replica of resnet50-preprocessing-suburb
t=  23.0s | network    | registry → nx_392    | unknown                   | docker_pull (95.4 MB)
t=  23.1s | network    | registry → nano_501  | unknown                   | docker_pull (95.4 MB)
t=  23.2s | network    | registry → nx_90     | unknown                   | docker_pull (38.1 MB)
t=  23.3s | network    | registry → nx_214    | unknown                   | docker_pull (38.1 MB)
t=  23.4s | network    | registry → coral_290 | unknown                   | docker_pull (38.1 MB)
t=  23.5s | network    | registry → rockpi_335 | unknown                   | docker_pull (38.1 MB)
t=  23.6s | network    | registry → rockpi_373 | unknown                   | docker_pull (38.1 MB)
t=  23.7s | network    | registry → nano_1223 | unknown                   | docker_pull (95.4 MB)
t=  23.8s | network    | registry → nx_323    | unknown                   | docker_pull (95.4 MB)
t=  23.9s | network    | registry → nano_149  | unknown                   | docker_pull (95.4 MB)
t=  24.0s | replica    | rockpi_455           | resnet50-preprocessing-suburb | startup replica of resnet50-preprocessing-suburb
t=  24.0s | network    | registry → nano_490  | unknown                   | docker_pull (95.4 MB)
t=  24.1s | network    | registry → nano_585  | unknown                   | docker_pull (95.4 MB)
t=  24.2s | network    | registry → nano_635  | unknown                   | docker_pull (95.4 MB)
t=  24.3s | network    | registry → nano_944  | unknown                   | docker_pull (95.4 MB)
t=  24.4s | network    | registry → nx_322    | unknown                   | docker_pull (95.4 MB)
t=  24.5s | network    | registry → nx_325    | unknown                   | docker_pull (95.4 MB)
t=  24.6s | network    | registry → nano_405  | unknown                   | docker_pull (95.4 MB)
t=  24.7s | network    | registry → nano_698  | unknown                   | docker_pull (95.4 MB)
t=  24.8s | network    | registry → rockpi_473 | unknown                   | docker_pull (38.1 MB)
t=  24.9s | network    | registry → rockpi_24 | unknown                   | docker_pull (38.1 MB)
t=  25.0s | replica    | rockpi_455           | resnet50-preprocessing-suburb | setup replica of resnet50-preprocessing-suburb
t=  25.0s | network    | registry → rpi4_478  | unknown                   | docker_pull (31.5 MB)
t=  25.1s | network    | registry → rpi4_479  | unknown                   | docker_pull (31.5 MB)
t=  25.2s | network    | registry → nx_175    | unknown                   | docker_pull (38.1 MB)
t=  25.3s | network    | registry → nano_737  | unknown                   | docker_pull (95.4 MB)
t=  25.4s | network    | registry → nano_1046 | unknown                   | docker_pull (95.4 MB)
t=  25.5s | network    | registry → nano_1119 | unknown                   | docker_pull (95.4 MB)
t=  25.6s | network    | registry → nx_249    | unknown                   | docker_pull (95.4 MB)
t=  25.7s | network    | registry → nx_375    | unknown                   | docker_pull (95.4 MB)
t=  25.8s | network    | registry → tx2_322   | unknown                   | docker_pull (95.4 MB)
t=  25.9s | network    | registry → tx2_357   | unknown                   | docker_pull (95.4 MB)
t=  26.0s | replica    | rockpi_455           | resnet50-preprocessing-suburb | finish replica of resnet50-preprocessing-suburb
t=  26.0s | network    | registry → nano_745  | unknown                   | docker_pull (95.4 MB)
t=  26.1s | network    | registry → nano_873  | unknown                   | docker_pull (95.4 MB)
t=  26.2s | network    | registry → nx_87     | unknown                   | docker_pull (95.4 MB)
t=  26.3s | network    | registry → nano_556  | unknown                   | docker_pull (95.4 MB)
t=  26.4s | network    | registry → nx_395    | unknown                   | docker_pull (38.1 MB)
t=  26.5s | network    | registry → rpi4_160  | unknown                   | docker_pull (31.5 MB)
t=  26.6s | network    | registry → coral_129 | unknown                   | docker_pull (38.1 MB)
t=  26.7s | network    | registry → rpi4_161  | unknown                   | docker_pull (31.5 MB)
t=  26.8s | network    | registry → rpi3_231  | unknown                   | docker_pull (31.5 MB)
t=  26.9s | network    | registry → rpi3_232  | unknown                   | docker_pull (31.5 MB)
t=  27.0s | replica    | rockpi_197           | resnet50-preprocessing-industrial | deploy replica of resnet50-preprocessing-industrial
t=  27.0s | network    | registry → rpi3_233  | unknown                   | docker_pull (31.5 MB)
t=  27.1s | network    | registry → tx2_8     | unknown                   | docker_pull (95.4 MB)
t=  27.2s | network    | registry → tx2_9     | unknown                   | docker_pull (95.4 MB)
t=  27.3s | network    | registry → nano_729  | unknown                   | docker_pull (95.4 MB)
t=  27.4s | network    | registry → tx2_10    | unknown                   | docker_pull (95.4 MB)
t=  27.5s | network    | registry → tx2_11    | unknown                   | docker_pull (95.4 MB)
t=  27.6s | network    | registry → nx_146    | unknown                   | docker_pull (95.4 MB)
t=  27.7s | network    | registry → nx_378    | unknown                   | docker_pull (95.4 MB)
t=  27.8s | network    | registry → nano_995  | unknown                   | docker_pull (95.4 MB)
t=  27.9s | network    | registry → nano_1254 | unknown                   | docker_pull (95.4 MB)
t=  28.0s | replica    | rockpi_197           | resnet50-preprocessing-residential | deploy replica of resnet50-preprocessing-residential
t=  28.0s | network    | registry → nx_118    | unknown                   | docker_pull (95.4 MB)
t=  28.1s | network    | registry → nano_165  | unknown                   | docker_pull (95.4 MB)
t=  28.2s | network    | nuc_46 → rpi4_444    | unknown                   | data_download (45.8 MB)
t=  28.3s | network    | nuc_46 → rockpi_59   | unknown                   | data_download (45.8 MB)
t=  28.4s | network    | nuc_46 → coral_233   | unknown                   | data_download (45.8 MB)
t=  28.5s | network    | nuc_46 → rpi4_229    | unknown                   | data_download (45.8 MB)
t=  28.6s | network    | nuc_46 → rpi4_228    | unknown                   | data_download (45.8 MB)
t=  28.7s | network    | nuc_46 → nx_218      | unknown                   | data_download (45.8 MB)
t=  28.8s | network    | nuc_46 → rpi4_445    | unknown                   | data_download (45.8 MB)
t=  28.9s | network    | registry → nx_210    | unknown                   | docker_pull (38.1 MB)
t=  29.0s | replica    | rockpi_197           | resnet50-preprocessing-residential | startup replica of resnet50-preprocessing-residential
t=  29.0s | network    | registry → rpi4_84   | unknown                   | docker_pull (31.5 MB)
t=  29.1s | network    | registry → nx_224    | unknown                   | docker_pull (38.1 MB)
t=  29.2s | network    | registry → rpi4_85   | unknown                   | docker_pull (31.5 MB)
t=  29.3s | network    | registry → rpi4_190  | unknown                   | docker_pull (31.5 MB)
t=  29.4s | network    | registry → rpi4_191  | unknown                   | docker_pull (31.5 MB)
t=  29.5s | network    | registry → nano_643  | unknown                   | docker_pull (95.4 MB)
